"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"glyQ",3073.27162652499,-3.00230541474042,0.122026273889606,-24.6037621164809,1.15133982303207e-133,1.44325432934414e-132
"rpsI",57595.5176566516,-2.96815281665872,0.0910881960961548,-32.5854824649889,6.58566378849719e-233,1.66418678591866e-231
"rplL",100851.631931776,-2.93924709616384,0.0896502033891966,-32.785727026226,9.40668723127692e-236,2.41539452777304e-234
"dxs",5286.11199940094,-2.89089549687313,0.111894842902494,-25.8358242603931,3.51154132281073e-147,5.08215798719516e-146
"cdaR_2",9.47437865186243,-2.85041908171491,1.53535268794508,-1.85652397921022,0.0633789083645075,0.0812500281968151
"der_1",21086.2285799285,-2.83897832097641,0.0925350892504363,-30.6800192659135,1.05156078948972e-206,2.32511774564949e-205
"dauA",4976.12327233188,-2.81313092208245,0.111449196085155,-25.2413747330489,1.40856931988779e-140,1.91661739936868e-139
"degA_4",2918.08327284705,-2.79905303270107,0.122153375622251,-22.9142503712455,3.35009881647932e-116,3.50878770778624e-115
"rpmGA_2",1990.35125779682,-2.79324943386283,0.1816801185032,-15.3745465209702,2.42535570431365e-53,1.33143664871287e-52
"pheS",6507.78107991284,-2.78742522466875,0.103379856806208,-26.9629433700412,4.02221065612976e-160,7.03665864237206e-159
"tagG",2572.16553383921,-2.78253463159541,0.138084652882713,-20.1509333116031,2.64087958678015e-90,2.18972932403854e-89
"adk",51833.690606967,-2.753191166457,0.0870135757536934,-31.6409381249929,1.01046754089053e-219,2.3313975726054e-218
"scrB_1",8712.00020416881,-2.73915996155687,0.104610576323432,-26.1843501663543,4.00621020688313e-151,6.06410785994861e-150
"rpsB",54716.999998782,-2.69715041586779,0.101474831589898,-26.5795012774013,1.17163848023325e-155,1.84678065399141e-154
"sttH",255.739244940849,-2.69073202844036,0.314823867440696,-8.54678538293229,1.26564228187177e-17,3.37504608499138e-17
"nfo_2",3708.10634267416,-2.68677172496622,0.114348443768966,-23.4963558436762,4.44407825966021e-122,5.05355184955647e-121
"rplO",58317.7494883823,-2.68621391179451,0.103568721607909,-25.9365363411937,2.57979521965475e-148,3.8028092497133e-147
"rplJ",206589.769615751,-2.68246540589283,0.103104742110444,-26.0168965169362,3.18903120143107e-149,4.74480156325071e-148
"cas2_2",11.8025756118716,-2.6791619747554,1.33459844897213,-2.00746672290742,0.0446999904793576,0.0584256033194887
"pbuG",4554.29323184366,-2.64307002199915,0.117002672436245,-22.5898260865739,5.45620280735556e-113,5.60404830278068e-112
"rpsN1",33429.3566062602,-2.63616287553172,0.0960373303162919,-27.449356066539,7.07165343197457e-166,1.29403129467857e-164
"treA",5199.66477483786,-2.63310894035448,0.107346929435079,-24.5289637459722,7.25350635000222e-133,8.8827554686181e-132
"secY",163714.183041503,-2.61282537395,0.0891792813999214,-29.2985694988153,1.08157522835494e-188,2.15233470442633e-187
"ygaZ_2",3499.40243563405,-2.60555779880036,0.146788010527191,-17.7504810470723,1.70884009691263e-70,1.14305606482559e-69
"pbpX_1",904.28436972873,-2.58698039657724,0.187865840762323,-13.7703607323171,3.84289483269522e-43,1.8208001707294e-42
"hpaIIM",9.30775911234658,-2.57588567968665,1.54579741273077,-1.66637986224609,0.095637779151106,0.119322370226145
"folA_2",2239.0984135666,-2.56546511153017,0.129695754930243,-19.7806405684598,4.37102593924158e-87,3.51448146225889e-86
"prsA_1",15400.6351879618,-2.55192873793394,0.101438231910914,-25.1574646941315,1.17092397065849e-139,1.57975505193925e-138
"rpmJ",41051.1911290718,-2.54986680771909,0.102118272416457,-24.9697409423484,1.30359103992904e-137,1.72943077963919e-136
"rpsS",34353.7577082133,-2.53964134936105,0.0915999859248264,-27.7253465021847,3.4557043378803e-169,6.39707128593656e-168
"treB",2892.88212295038,-2.53905684710805,0.141965910929145,-17.8849755585008,1.54420883389377e-71,1.03729133483497e-70
"rpsH",49689.6964224136,-2.536607408967,0.105409159199772,-24.0643927740625,5.90115472861042e-128,7.01092412533417e-127
"alsS",3508.15987879999,-2.51888108252182,0.120179335819362,-20.959352665319,1.54169437118526e-97,1.37116058040611e-96
